"Lat","Lon","Cont","Lat_d","Lon_d"
"21","5","North America",40,15
"22","5","North America",37.5,15
"23","5","North America",35,15
"24","5","North America",32.5,15
"25","5","North America",30,15
"26","5","North America",27.5,15
"27","5","North America",25,15
"29","5","North America",20,15
"30","5","North America",17.5,15
"31","5","North America",15,15
"32","5","North America",12.5,15
"33","5","North America",10,15
"34","5","North America",7.5,15
"35","5","North America",5,15
"36","5","North America",2.5,15
"37","5","North America",0,15
"38","5","North America",-2.5,15
"40","5","North America",-7.5,15
"41","5","North America",-10,15
"40","6","North America",-7.5,18.75
"43","6","North America",-15,18.75
"46","6","North America",-22.5,18.75
"47","6","North America",-25,18.75
"50","6","North America",-32.5,18.75
"51","6","North America",-35,18.75
"52","6","North America",-37.5,18.75
"53","6","North America",-40,18.75
"54","6","North America",-42.5,18.75
"55","6","North America",-45,18.75
"56","6","North America",-47.5,18.75
"57","6","North America",-50,18.75
"58","6","North America",-52.5,18.75
"59","6","North America",-55,18.75
"60","6","North America",-57.5,18.75
"61","6","North America",-60,18.75
"62","6","North America",-62.5,18.75
"60","7","North America",-57.5,22.5
"63","7","North America",-65,22.5
"64","7","North America",-67.5,22.5
"65","7","North America",-70,22.5
"66","7","North America",-72.5,22.5
"67","7","North America",-75,22.5
"68","7","North America",-77.5,22.5
"69","7","North America",-80,22.5
"72","7","North America",-87.5,22.5
"73","7","North America",-90,22.5
"1","8","North America",90,26.25
"2","8","North America",87.5,26.25
"3","8","North America",85,26.25
"4","8","North America",82.5,26.25
"5","8","North America",80,26.25
"6","8","North America",77.5,26.25
"7","8","North America",75,26.25
"8","8","North America",72.5,26.25
"9","8","North America",70,26.25
"10","8","North America",67.5,26.25
"11","8","North America",65,26.25
"8","9","North America",72.5,30
"9","9","North America",70,30
"16","9","North America",52.5,30
"26","9","North America",27.5,30
"27","9","North America",25,30
"28","9","North America",22.5,30
"29","9","North America",20,30
"30","9","North America",17.5,30
"31","9","North America",15,30
"32","9","North America",12.5,30
"33","9","North America",10,30
"34","9","North America",7.5,30
"31","10","North America",15,33.75
"32","10","North America",12.5,33.75
"33","10","North America",10,33.75
"34","10","North America",7.5,33.75
"35","10","North America",5,33.75
"37","10","North America",0,33.75
"38","10","North America",-2.5,33.75
"40","10","North America",-7.5,33.75
"41","10","North America",-10,33.75
"42","10","North America",-12.5,33.75
"43","10","North America",-15,33.75
"44","10","North America",-17.5,33.75
"49","10","North America",-30,33.75
"50","10","North America",-32.5,33.75
"51","10","North America",-35,33.75
"52","10","North America",-37.5,33.75
"53","10","North America",-40,33.75
"54","10","North America",-42.5,33.75
"55","10","North America",-45,33.75
"56","10","North America",-47.5,33.75
"57","10","North America",-50,33.75
"43","11","North America",-15,37.5
"44","11","North America",-17.5,37.5
"45","11","North America",-20,37.5
"46","11","North America",-22.5,37.5
"47","11","North America",-25,37.5
"48","11","North America",-27.5,37.5
"49","11","North America",-30,37.5
"52","11","North America",-37.5,37.5
"53","11","North America",-40,37.5
"54","11","North America",-42.5,37.5
"55","11","North America",-45,37.5
"57","11","North America",-50,37.5
"59","11","North America",-55,37.5
"60","11","North America",-57.5,37.5
"62","11","North America",-62.5,37.5
"64","11","North America",-67.5,37.5
"67","11","North America",-75,37.5
"68","11","North America",-77.5,37.5
"73","11","North America",-90,37.5
"1","12","North America",90,41.25
"2","12","North America",87.5,41.25
"3","12","North America",85,41.25
"4","12","North America",82.5,41.25
"5","12","North America",80,41.25
"6","12","North America",77.5,41.25
"67","12","North America",-75,41.25
"68","12","North America",-77.5,41.25
"69","12","North America",-80,41.25
"70","12","North America",-82.5,41.25
"71","12","North America",-85,41.25
"72","12","North America",-87.5,41.25
"73","12","North America",-90,41.25
"1","13","North America",90,45
"2","13","North America",87.5,45
"3","13","North America",85,45
"4","13","North America",82.5,45
"5","13","North America",80,45
"6","13","North America",77.5,45
"7","13","North America",75,45
"8","13","North America",72.5,45
"9","13","North America",70,45
"10","13","North America",67.5,45
"11","13","North America",65,45
"12","13","North America",62.5,45
"13","13","North America",60,45
"14","13","North America",57.5,45
"17","13","North America",50,45
"18","13","North America",47.5,45
"19","13","North America",45,45
"20","13","North America",42.5,45
"23","13","North America",35,45
"24","13","North America",32.5,45
"25","13","North America",30,45
"26","13","North America",27.5,45
"27","13","North America",25,45
"17","14","North America",50,48.75
"18","14","North America",47.5,48.75
"19","14","North America",45,48.75
"20","14","North America",42.5,48.75
"21","14","North America",40,48.75
"22","14","North America",37.5,48.75
"23","14","North America",35,48.75
"24","14","North America",32.5,48.75
"25","14","North America",30,48.75
"26","14","North America",27.5,48.75
"27","14","North America",25,48.75
"28","14","North America",22.5,48.75
"29","14","North America",20,48.75
"30","14","North America",17.5,48.75
"31","14","North America",15,48.75
"32","14","North America",12.5,48.75
"33","14","North America",10,48.75
"34","14","North America",7.5,48.75
"35","14","North America",5,48.75
"37","14","North America",0,48.75
"41","14","North America",-10,48.75
"42","14","North America",-12.5,48.75
"46","14","North America",-22.5,48.75
"47","14","North America",-25,48.75
"48","14","North America",-27.5,48.75
"39","15","North America",-5,52.5
"40","15","North America",-7.5,52.5
"41","15","North America",-10,52.5
"42","15","North America",-12.5,52.5
"43","15","North America",-15,52.5
"44","15","North America",-17.5,52.5
"45","15","North America",-20,52.5
"46","15","North America",-22.5,52.5
"47","15","North America",-25,52.5
"48","15","North America",-27.5,52.5
"49","15","North America",-30,52.5
"50","15","North America",-32.5,52.5
"51","15","North America",-35,52.5
"52","15","North America",-37.5,52.5
"53","15","North America",-40,52.5
"54","15","North America",-42.5,52.5
"55","15","North America",-45,52.5
"56","15","North America",-47.5,52.5
"57","15","North America",-50,52.5
"62","15","North America",-62.5,52.5
"63","15","North America",-65,52.5
"70","15","North America",-82.5,52.5
"71","15","North America",-85,52.5
"63","16","North America",-65,56.25
"64","16","North America",-67.5,56.25
"69","16","North America",-80,56.25
"70","16","North America",-82.5,56.25
"71","16","North America",-85,56.25
"72","16","North America",-87.5,56.25
"73","16","North America",-90,56.25
"1","17","North America",90,60
"2","17","North America",87.5,60
"3","17","North America",85,60
"4","17","North America",82.5,60
"5","17","North America",80,60
"6","17","North America",77.5,60
"7","17","North America",75,60
"12","17","North America",62.5,60
"13","17","North America",60,60
"15","17","North America",55,60
"20","18","North America",42.5,63.75
"21","18","North America",40,63.75
"22","18","North America",37.5,63.75
"23","18","North America",35,63.75
"24","18","North America",32.5,63.75
"25","18","North America",30,63.75
"26","18","North America",27.5,63.75
"27","18","North America",25,63.75
"28","18","North America",22.5,63.75
"29","18","North America",20,63.75
"30","18","North America",17.5,63.75
"31","18","North America",15,63.75
"36","18","North America",2.5,63.75
"37","18","North America",0,63.75
"38","18","North America",-2.5,63.75
"39","18","North America",-5,63.75
"44","19","North America",-17.5,67.5
"45","19","North America",-20,67.5
"46","19","North America",-22.5,67.5
"47","19","North America",-25,67.5
"48","19","North America",-27.5,67.5
