"Lat","Lon","Lat_d","Lon_d","Cont"
9,5,70,15,"North America"
12,5,62.5,15,"North America"
9,6,70,18.75,"North America"
10,6,67.5,18.75,"North America"
11,6,65,18.75,"North America"
12,6,62.5,18.75,"North America"
13,6,60,18.75,"North America"
9,7,70,22.5,"North America"
10,7,67.5,22.5,"North America"
11,7,65,22.5,"North America"
12,7,62.5,22.5,"North America"
13,7,60,22.5,"North America"
9,8,70,26.25,"North America"
10,8,67.5,26.25,"North America"
11,8,65,26.25,"North America"
12,8,62.5,26.25,"North America"
9,9,70,30,"North America"
10,9,67.5,30,"North America"
11,9,65,30,"North America"
12,9,62.5,30,"North America"
9,10,70,33.75,"North America"
10,10,67.5,33.75,"North America"
11,10,65,33.75,"North America"
12,10,62.5,33.75,"North America"
9,11,70,37.5,"North America"
10,11,67.5,37.5,"North America"
11,11,65,37.5,"North America"
12,11,62.5,37.5,"North America"
10,12,67.5,41.25,"North America"
11,12,65,41.25,"North America"
12,12,62.5,41.25,"North America"
13,12,60,41.25,"North America"
10,13,67.5,45,"North America"
11,13,65,45,"North America"
12,13,62.5,45,"North America"
13,13,60,45,"North America"
14,13,57.5,45,"North America"
9,14,70,48.75,"North America"
10,14,67.5,48.75,"North America"
11,14,65,48.75,"North America"
12,14,62.5,48.75,"North America"
13,14,60,48.75,"North America"
14,14,57.5,48.75,"North America"
15,14,55,48.75,"North America"
9,15,70,52.5,"North America"
10,15,67.5,52.5,"North America"
11,15,65,52.5,"North America"
12,15,62.5,52.5,"North America"
13,15,60,52.5,"North America"
14,15,57.5,52.5,"North America"
15,15,55,52.5,"North America"
16,15,52.5,52.5,"North America"
17,15,50,52.5,"North America"
7,16,75,56.25,"North America"
8,16,72.5,56.25,"North America"
9,16,70,56.25,"North America"
10,16,67.5,56.25,"North America"
11,16,65,56.25,"North America"
12,16,62.5,56.25,"North America"
13,16,60,56.25,"North America"
14,16,57.5,56.25,"North America"
15,16,55,56.25,"North America"
16,16,52.5,56.25,"North America"
17,16,50,56.25,"North America"
18,16,47.5,56.25,"North America"
19,16,45,56.25,"North America"
20,16,42.5,56.25,"North America"
21,16,40,56.25,"North America"
22,16,37.5,56.25,"North America"
7,17,75,60,"North America"
8,17,72.5,60,"North America"
9,17,70,60,"North America"
10,17,67.5,60,"North America"
11,17,65,60,"North America"
12,17,62.5,60,"North America"
13,17,60,60,"North America"
14,17,57.5,60,"North America"
15,17,55,60,"North America"
16,17,52.5,60,"North America"
17,17,50,60,"North America"
18,17,47.5,60,"North America"
19,17,45,60,"North America"
20,17,42.5,60,"North America"
